Setting,AUC_mean,AUC_std,PR-AUC_mean,PR-AUC_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,runs
embedding only,0.6779281537176274,0.03380486539744152,0.3349273636668996,0.04726936857188169,0.8044989775051123,0.02026913978464435,0.5187969924812029,0.03477781148241592,0.09056794565333465,0.09295726806175632,0.4066666666666666,0.3022017966953968,0.06666666666666667,0.10954451150103325,15
full,0.7420551378446115,0.027538899122529804,0.4019236495178704,0.07719923632913217,0.7165644171779141,0.07038568430036467,0.6438930659983292,0.04614407556190741,0.39648959573765163,0.05945885406354367,0.3601347028288187,0.07705299734622675,0.5288888888888889,0.20032073048421226,15
knowledge only,0.5,0.0,0.18404907975460116,5.551115123125783e-17,0.8159509202453988,1.1102230246251565e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
w/o DP,0.7394903926482873,0.026624668825163168,0.38787527192435445,0.058744105017258894,0.7087934560327198,0.07583135335673973,0.6485964912280701,0.041016199587346175,0.40383866428365417,0.05385904869096285,0.35859400328175706,0.0823245325123692,0.5533333333333332,0.19275776393067945,15
w/o KG features,0.7336340852130326,0.035629567255551435,0.3829566414034459,0.07437132769173546,0.6858895705521473,0.07245846371252367,0.646608187134503,0.05605279578060191,0.3938063186935553,0.07982860785701483,0.32492262326972915,0.05860687527151684,0.5844444444444445,0.21460270498680653,15
w/o learned fusion,0.4312949039264828,0.06658482464975878,0.188487867388534,0.04231158489622979,0.5190184049079754,0.1011755461998234,0.46174603174603185,0.049942722298179226,0.21443369670210144,0.058047029491226684,0.1555215779924944,0.036728035516092356,0.37111111111111106,0.15580931682629426,15
