Method,AUC_mean,AUC_std,PR-AUC_mean,PR-AUC_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,runs
BM25,0.7063157894736842,0.0429412571598502,0.3746688254477008,0.07256675734003838,0.7938650306748465,0.04237424097482016,0.5553049289891395,0.03468384541341668,0.23910386323486085,0.07414242051510356,0.45148388287818564,0.19888691253471266,0.17777777777777778,0.06849348892187751,15
DP-Embedding,0.520016708437761,0.0701543032181554,0.22808958403401494,0.04922547014957789,0.5337423312883435,0.1340365612120568,0.529281537176274,0.04712660706676411,0.2855813368326566,0.04793550223614778,0.20786372172248474,0.034336701061893515,0.5222222222222221,0.20964402515681343,15
DP-KER-v1,0.5687050960735173,0.06658482464975876,0.24658003927622474,0.05606075981595986,0.4809815950920246,0.1011755461998234,0.5382539682539682,0.04994272229817921,0.30736802104368327,0.0421759334208965,0.20752019561229887,0.031591583274421346,0.6288888888888889,0.1558093168262943,15
DP-KER-v2,0.7420551378446115,0.027538899122529804,0.4019236495178704,0.07719923632913217,0.7165644171779141,0.07038568430036467,0.6438930659983292,0.04614407556190741,0.39648959573765163,0.05945885406354367,0.3601347028288187,0.07705299734622675,0.5288888888888889,0.20032073048421226,15
Embedding,0.6779281537176274,0.03380486539744152,0.3349273636668996,0.04726936857188169,0.8044989775051123,0.02026913978464435,0.5187969924812029,0.03477781148241592,0.09056794565333465,0.09295726806175632,0.4066666666666666,0.3022017966953968,0.06666666666666667,0.10954451150103325,15
KG-only,0.5,0.0,0.18404907975460116,5.551115123125783e-17,0.8159509202453988,1.1102230246251565e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
TF-IDF,0.7059147869674187,0.026906260914155117,0.3820178361452884,0.04829681129160967,0.8077709611451943,0.03235998436785682,0.5491979949874686,0.044978748255978133,0.17886173149446627,0.12664997310877568,0.5788215488215489,0.2502200824741878,0.14,0.14360439485692011,15
