threshold,Method,AUC_mean,AUC_std,PR-AUC_mean,PR-AUC_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,runs
6.5,DP-Embedding,0.5127876543529585,0.038974222486195344,0.30421002834566097,0.03539993574770207,0.469120654396728,0.11309810358211086,0.5027854339818447,0.04095422645251478,0.36460576763818203,0.05115486263032215,0.2822377239511048,0.0414431086000646,0.5767003367003368,0.17939641028217165,15
6.5,DP-KER-v2,0.7268417330979643,0.03346823658027063,0.4870816790251483,0.05470959930882597,0.6711656441717792,0.051611587907885004,0.6484681453475072,0.04621018481038163,0.48869753835409496,0.07181022919006762,0.44055378205687157,0.06740934578468037,0.5987878787878789,0.17127818714822696,15
7.0,DP-Embedding,0.520016708437761,0.0701543032181554,0.22808958403401494,0.04922547014957789,0.5337423312883435,0.1340365612120568,0.529281537176274,0.04712660706676411,0.2855813368326566,0.04793550223614778,0.20786372172248474,0.034336701061893515,0.5222222222222221,0.20964402515681343,15
7.0,DP-KER-v2,0.7420551378446115,0.027538899122529804,0.4019236495178704,0.07719923632913217,0.7165644171779141,0.07038568430036467,0.6438930659983292,0.04614407556190741,0.39648959573765163,0.05945885406354367,0.3601347028288187,0.07705299734622675,0.5288888888888889,0.20032073048421226,15
7.5,DP-Embedding,0.503935811662617,0.08979794195317499,0.12902768866352848,0.0345946935320452,0.5374233128834355,0.1704712111734269,0.5102120709723033,0.0780944219587263,0.1770746141728412,0.06379983065429376,0.11309987126857855,0.04345860853385809,0.4758169934640524,0.22955913309775172,15
7.5,DP-KER-v2,0.7215038339904272,0.055639972956105205,0.2961647361707042,0.06446778522149181,0.7979550102249487,0.07380571801035274,0.6157117864203362,0.051341768051565234,0.280641637762236,0.056640273569173824,0.26875632289088974,0.08699620294756741,0.38518518518518513,0.17778445243568097,15
