mode,Method,AUC_mean,AUC_std,PR-AUC_mean,PR-AUC_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,runs
final,BM25,0.7160735171261489,0.04186997819538185,0.40148340151565237,0.08290611743719269,0.8061349693251534,0.04829640709734318,0.5524979114452798,0.03525293679505154,0.22573686208894914,0.07276102214420578,0.5723809523809523,0.24857879303564911,0.15111111111111114,0.0499876527964533,15
final,DP-Embedding,0.48955722639933164,0.07992505260536917,0.20999998191390465,0.048174971081582155,0.48139059304703474,0.0740229804982655,0.4877360066833749,0.06701046812298402,0.25848464135248694,0.06358883215810457,0.176267648443009,0.04235738833420301,0.49777777777777765,0.14578861748317087,15
final,DP-KER-v1,0.6454469507101085,0.059858709924573074,0.35142880738647075,0.0731338133205082,0.6012269938650306,0.06473289076214485,0.5852631578947367,0.0511563920031289,0.33924875825842726,0.05520915537362685,0.2474981772104578,0.04367814255699678,0.5600000000000002,0.13673440055924588,15
final,DP-KER-v2,0.83062656641604,0.03774130976938243,0.5713181234940917,0.08847214963243347,0.8155419222903885,0.041817915856429466,0.7045446950710109,0.05658754317276406,0.5074706237662487,0.08803529221341835,0.5285176408690236,0.1083733047252524,0.5288888888888887,0.15244509232126666,15
final,DP-KER-v2-HistGradientBoostingClassifier,0.8266081871345028,0.03711147234440831,0.5683021455033448,0.09396855100007977,0.8302658486707566,0.03239873112015308,0.6507518796992481,0.04307892071544845,0.44237390744722327,0.0889206979172013,0.5766137865402571,0.12242514614027007,0.3666666666666667,0.07934920476158723,6
final,DP-KER-v2-LogisticRegression,0.7907268170426065,0.008521303258145374,0.4764907319897109,0.06403168208664964,0.7361963190184049,0.012269938650306733,0.7350877192982456,0.007518796992481147,0.5060145406477198,0.01163251817580968,0.3864406779661017,0.013559322033898313,0.7333333333333333,0.0,2
final,DP-KER-v2-RandomForestClassifier,0.8454708199069101,0.03408807119891937,0.600996787915984,0.06763807874390952,0.8255915863277826,0.026813424260785913,0.7419262441818832,0.03332740075877445,0.5636838329307077,0.054761830631290045,0.527885791123087,0.06721227778839615,0.6095238095238095,0.058321184351980415,7
final,Embedding,0.661704260651629,0.02611062162761336,0.33666212931887096,0.048733363563833426,0.8057259713701431,0.017011561834834685,0.5204093567251461,0.02439253950318413,0.10073567661518325,0.08784901718622258,0.39963924963924957,0.29919387274252535,0.0688888888888889,0.07646511348482335,15
final,KG-only,0.6977861319966583,0.04748119400433495,0.40430402088101436,0.06996948126096714,0.6122699386503068,0.028442271821208513,0.6359147869674184,0.039824574547337434,0.38970195563970567,0.03683543967772144,0.2745841754984626,0.02547604090434985,0.6733333333333333,0.07620634755325445,15
final,TF-IDF,0.7230743525480368,0.023275003732827385,0.417614429079527,0.047214321473890666,0.8118609406952965,0.026284284683942127,0.5603091060985798,0.05408363094698493,0.20345786504480198,0.14875541566306244,0.6015481941568898,0.25997316203442133,0.16222222222222224,0.15769951110409042,15
