mode,epsilon,sigma,Method,AUC_mean,AUC_std,PR-AUC_mean,PR-AUC_std,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,runs
final,0.5,9.689610525210778,DP-KER-v2,0.8316959064327486,0.03993804565359387,0.5662369626758649,0.08494910714036874,0.8102249488752556,0.045496311881341595,0.7451712614870509,0.05310981095723586,0.5566224552612963,0.08002177970647352,0.5010045148879038,0.09083884814890467,0.642222222222222,0.10573668669662506,15
final,1.0,4.844805262605389,DP-KER-v2,0.8317126148705096,0.04036056554006408,0.5671082492560235,0.08638436541797445,0.8077709611451941,0.04353475367111712,0.7453884711779448,0.04742353567390409,0.555229321404476,0.07178675446565373,0.4955592252594997,0.08306237982360183,0.6466666666666665,0.09645570850760313,15
final,2.0,2.4224026313026945,DP-KER-v2,0.8340517961570593,0.03959782013061719,0.5685528986800608,0.08512868966818796,0.8089979550102249,0.045241903669610894,0.7470008354218881,0.04726353388772836,0.5582634033033148,0.07254055949695755,0.49945904287759635,0.08627218671533339,0.6488888888888887,0.09417608933518706,15
final,4.0,1.2112013156513473,DP-KER-v2,0.832247284878864,0.03941707804706357,0.5687442711696459,0.08463782745439566,0.810633946830266,0.044907900961344144,0.7488638262322475,0.05046884093858868,0.5609746961725005,0.07888643645667545,0.5015618035753467,0.0913864547763882,0.651111111111111,0.098029977778279,15
final,8.0,0.6056006578256736,DP-KER-v2,0.833934837092732,0.0396227628737728,0.5683125273320383,0.08672888466105431,0.8098159509202453,0.04423989295047839,0.74578111946533,0.047030898619290766,0.5574356816074639,0.07465119254207184,0.5008431467054815,0.09001520892121981,0.6444444444444443,0.09480324003422909,15
