label,score_name,count,mean,std,min,p25,median,p75,max
0,macro_score,3,2.5033333333333334,0.8329198974424585,1.33,2.165,3.0,3.09,3.18
0,micro_score,3,1.4433333333333334,0.3941516910474387,1.1400000000000001,1.165,1.19,1.595,2.0
0,avg_macro_micro,3,1.9733333333333334,0.5231528351150254,1.26,1.71,2.16,2.33,2.5
0,requirements_met_rate,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,macro_score,131,6.336793893129771,1.7379676940644098,1.0,5.390000000000001,6.66,7.725,9.0
1,micro_score,131,5.2011450381679385,2.069431326991033,0.0,3.645,5.140000000000001,6.795,9.0
1,avg_macro_micro,131,5.768969465648854,1.734408925161059,1.0,4.76,6.05,6.9375,9.0
1,requirements_met_rate,131,0.5358778625954198,0.39154265960895035,0.0,0.0,0.6666666666666666,1.0,1.0
