Method,epsilon,sigma,seeds,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Spearman_mean,Spearman_std,Pearson_mean,Pearson_std,Consistency_mean,Consistency_std
full,2.0,2.4224026313026945,3407;42;2026,0.16737738001228397,0.010569137945494914,0.20048309178743962,0.013339807991772056,0.06694238734825246,0.01830252211982538,0.07431028775582417,0.017246012344408115,0.061068702290076333,0.018698394983077696,-0.5289648157819761,0.022330264130652193,-0.5193375055300921,0.02891321589850168,0.45865353731248376,0.0
w/o_dp,,,,0.21510923927349304,0.0,0.13768115942028986,0.0,0.02459016393442623,0.0,0.02654867256637168,0.0,0.022900763358778626,0.0,-0.43441403341546825,0.0,-0.6348640180118179,0.0,0.45865353731248376,0.0
w/o_knowledge,2.0,2.4224026313026945,3407;42;2026,0.4593664999561288,0.03845943358982514,0.46014492753623193,0.04297209390013816,0.39644915058049746,0.06172850083787836,0.4284353741496599,0.036248227666711375,0.3867684478371502,0.11699301712542137,-0.05958852645201638,0.07306157708285371,-0.04812531386301766,0.06218355081143629,0.45865353731248376,0.0
w/o_ranking_fusion,2.0,2.4224026313026945,3407;42;2026,0.1489865754145828,0.008523277719598304,0.20531400966183574,0.018075639549632563,0.23849911916278688,0.044708871786292514,0.21755754324851329,0.03401032056495886,0.26463104325699743,0.059891105831754825,-0.5669669750459816,0.00580685400495806,-0.556774050131628,0.012189773063746849,0.45865353731248376,0.0
retrieval_only,,,,0.2304817057120295,0.0,0.12318840579710146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4002176544303741,0.0,-0.6859442993441291,0.0,0.45865353731248376,0.0
