Method,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Spearman_mean,Spearman_std,Pearson_mean,Pearson_std,Consistency_mean,Consistency_std,epsilon,sigma,seeds
TF-IDF pair similarity,0.2304817057120295,0.0,0.12318840579710146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4002176544303741,0.0,-0.6859442993441291,0.0,0.45865353731248376,0.0,,,
BM25 pair similarity,0.26491181889971044,0.0,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3274163606618074,0.0,-0.15065031502122345,0.0,0.45865353731248376,0.0,,,
tfidf-svd pair similarity,0.22005790997630958,0.0,0.13405797101449277,0.0,0.024489795918367346,0.0,0.02631578947368421,0.0,0.022900763358778626,0.0,-0.42664854131178925,0.0,-0.6580680212214456,0.0,0.45865353731248376,0.0,,,
KG-Enhanced pair score,0.20473808897078177,0.0,0.13043478260869565,0.0,0.008264462809917356,0.0,0.009009009009009009,0.0,0.007633587786259542,0.0,-0.4555201542824696,0.0,-0.5881355628748326,0.0,0.45865353731248376,0.0,,,
DP-Embedding pair similarity,0.4593664999561288,0.03845943358982514,0.46014492753623193,0.04297209390013816,0.39644915058049746,0.06172850083787836,0.4284353741496599,0.036248227666711375,0.3867684478371502,0.11699301712542137,-0.05958852645201638,0.07306157708285371,-0.04812531386301766,0.062183550811436304,0.45865353731248376,0.0,2.0,2.4224026313026945,3407;42;2026
DP-KER full pair score,0.16737738001228397,0.010569137945494914,0.20048309178743962,0.013339807991772056,0.06694238734825246,0.01830252211982538,0.07431028775582417,0.017246012344408115,0.061068702290076333,0.018698394983077696,-0.5289648157819761,0.022330264130652193,-0.5193375055300921,0.02891321589850168,0.45865353731248376,0.0,2.0,2.4224026313026945,3407;42;2026
