epsilon,sigma,seeds,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Spearman_mean,Spearman_std,Pearson_mean,Pearson_std
0.5,9.689610525210778,3407;42;2026,0.5597060624617268,0.007053338454039978,0.4680851063829787,0.056958788667407834,0.3729097503380574,0.02732611187097804,0.26365169006524386,0.017319674081351724,0.6521739130434782,0.12297509238026916,0.12541196905225735,0.10397591625426353,0.11849688925171453,0.15415645165029743
1.0,4.844805262605389,3407;42;2026,0.559297815880792,0.007751311510939945,0.4680851063829787,0.056958788667407834,0.3729097503380574,0.02732611187097804,0.26365169006524386,0.017319674081351724,0.6521739130434782,0.12297509238026916,0.12536139485446385,0.10386869626534082,0.11779654552446467,0.15327450474927937
2.0,2.4224026313026945,3407;42;2026,0.559297815880792,0.008082869921707824,0.4716312056737588,0.061624635450293515,0.3747568659959148,0.027711989756903702,0.26574508781081546,0.019700376748770898,0.6521739130434782,0.12297509238026916,0.12583342070053663,0.10386937637759809,0.1169609265520582,0.15189620094132764
4.0,1.2112013156513473,3407;42;2026,0.557460706266585,0.011846187490138323,0.46808510638297873,0.05211680303793997,0.37259638457846744,0.0253860881269932,0.2631614657838641,0.013163957649440401,0.6521739130434782,0.12297509238026916,0.12431378647159812,0.09955849809419245,0.11681158265125875,0.15013581246076546
8.0,0.6056006578256736,3407;42;2026,0.5527658705858339,0.018147467459394044,0.4574468085106383,0.060802936877596615,0.3677349631835856,0.01987784755959371,0.2589802130898021,0.0068653625639841145,0.6521739130434783,0.12799653429460647,0.12551070915271134,0.09425278201011876,0.11648694541168629,0.14744698331048262
