Method,epsilon,sigma,seeds,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Spearman_mean,Spearman_std,Pearson_mean,Pearson_std
full,2.0,2.4224026313026945,3407;42;2026,0.559297815880792,0.008082869921707824,0.4716312056737588,0.061624635450293515,0.3747568659959148,0.027711989756903702,0.26574508781081546,0.019700376748770898,0.6521739130434782,0.12297509238026916,0.12583342070053663,0.10386937637759809,0.1169609265520582,0.15189620094132764
w/o_dp,,,,0.6068585425597061,0.0,0.6170212765957447,0.0,0.3333333333333333,0.0,0.2903225806451613,0.0,0.391304347826087,0.0,0.3667351828569899,0.0,0.45552520019165443,0.0
w/o_knowledge,2.0,2.4224026313026945,3407;42;2026,0.5499081445192896,0.06628886179792551,0.47517730496453897,0.02653657721116269,0.37542087542087543,0.041459967528702873,0.26465915037343607,0.022843646505725478,0.6521739130434782,0.12297509238026916,0.07057990546355268,0.12183050889683857,0.08744210339705528,0.07681903504828183
w/o_ranking_fusion,2.0,2.4224026313026945,3407;42;2026,0.522657685241886,0.008058346986385702,0.49290780141843976,0.06966979682407273,0.3497130933750652,0.01993707189275308,0.25800053785128413,0.00880872601080403,0.5652173913043478,0.12799653429460645,-0.007075596660229014,0.06420608577239058,-0.006779020838540863,0.10485831660244399
retrieval_only,,,,0.6509491733006736,0.0,0.6808510638297872,0.0,0.4444444444444444,0.0,0.3870967741935484,0.0,0.5217391304347826,0.0,0.45378782703043097,0.0,0.49780259538545135,0.0
