Method,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Spearman_mean,Spearman_std,Pearson_mean,Pearson_std,epsilon,sigma,seeds
TF-IDF pair similarity,0.6509491733006736,0.0,0.6808510638297872,0.0,0.4444444444444444,0.0,0.3870967741935484,0.0,0.5217391304347826,0.0,0.45378782703043097,0.0,0.49780259538545135,0.0,,,
BM25 pair similarity,0.7274954072259645,0.0,0.7553191489361702,0.0,0.20689655172413793,0.0,0.5,0.0,0.13043478260869565,0.0,0.38846763813740415,0.0,0.4118819036245369,0.0,,,
tfidf-svd pair similarity,0.6497244335578689,0.0,0.6276595744680851,0.0,0.4262295081967213,0.0,0.34210526315789475,0.0,0.5652173913043478,0.0,0.42813948386371875,0.0,0.46773914085150115,0.0,,,
KG-Enhanced pair score,0.5211267605633804,0.0,0.5319148936170213,0.0,0.3333333333333333,0.0,0.2558139534883721,0.0,0.4782608695652174,0.0,0.2117252666198599,0.0,0.2825909684691472,0.0,,,
DP-Embedding pair similarity,0.5499081445192896,0.06628886179792551,0.47517730496453897,0.02653657721116269,0.37542087542087543,0.041459967528702873,0.26465915037343607,0.022843646505725478,0.6521739130434782,0.12297509238026916,0.07057990546355268,0.12183050889683857,0.08744210339705528,0.07681903504828179,2.0,2.4224026313026945,3407;42;2026
DP-KER full pair score,0.559297815880792,0.008082869921707824,0.4716312056737588,0.061624635450293515,0.3747568659959148,0.027711989756903702,0.26574508781081546,0.019700376748770898,0.6521739130434782,0.12297509238026916,0.12583342070053663,0.10386937637759809,0.11696092655205821,0.15189620094132766,2.0,2.4224026313026945,3407;42;2026
