Method,Recall@5,NDCG@5,MRR,Consistency,ValidQueries
TF-IDF+Cosine,0.07633587786259542,0.051983299504016624,0.0630382568792691,0.5259123397889401,131.0
BM25,0.06870229007633588,0.04627180390568588,0.05132622565155239,0.5303872657083111,131.0
SBERT+Cosine,0.07633587786259542,0.04969515595820033,0.05567529311939056,0.5255794076335576,131.0
RAG-based Rec.,0.06870229007633588,0.046407548644662976,0.05660910820734855,0.54563154713912,131.0
DP-Embedding,0.022900763358778626,0.015402920311496178,0.02694331839589826,0.3277124026221403,131.0
DP-KER,0.022900763358778626,0.012585590186087455,0.026291401733812277,0.49622837564005795,131.0
